_id,name,bio,picture
"5351f1f1-b151-4d65-8395-21b4879228bf","Zac","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",""
"09ed868f-9351-41c9-8d46-d4836cf8d847","Katey S - Broker Tools","",""
"88b22405-77ad-414f-853f-393cfa0df47b","Simba — Head of Service & Delivery","Simba is the Head of Service & Delivery at Broker Tools, overseeing timelines, cadence, and documentation (with the occasional nap, usually scheduled during important meetings). Known for his strict walk-time enforcement — and even stricter treat compliance — Simba ensures work gets finished because his time is precious. 

While he doesn’t understand what a CRM does (that’s his mother’s job), he does understand that without enforced play, walk, and rest schedules, everything quickly goes off the rails. His role is simple: to balance work with play. ",""
